,Unnamed: 0,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
101,8379,JB364278,Y,2018-07-25 08:25:00,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,3.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/25/2018 08:45:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,200,W,ADAMS ST,122,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,4,7,41.879495471999995,-87.63382966100002,POINT (-87.633829660605 41.879495472483)
154,9346,JB359828,Y,2018-07-21 21:00:00,30,NO CONTROLS,NO CONTROLS,OTHER,UNKNOWN,PARKED MOTOR VEHICLE,PARKING LOT,,CURVE ON GRADE,UNKNOWN,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,Y,Y,"OVER $1,500",07/21/2018 09:59:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,201,S,WELLS ST,122,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21,7,7,41.879350599,-87.63360801,POINT (-87.633608010212 41.87935059928)
259,11148,JB352289,nan,2018-07-16 14:57:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,4.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/16/2018 03:54:00 PM,DISTRACTION - FROM INSIDE VEHICLE,NOT APPLICABLE,189,W,ADAMS ST,122,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14,2,7,41.879279917,-87.63340456799999,POINT (-87.633404568162 41.879279916643)
